region,crop_category,year,sown_acres,harvested_acres,production_tons,measurement_type
Rakhine,Potato,2021-22,0,0,0,
Rakhine,Potato,2022-23,0,0,0,
Rakhine,Potato,2023-24,0,0,0,
Rakhine,Potato,2024-25,0,0,0,
Rakhine,Plantain,2019-20,10000,10000,15000,
Rakhine,Plantain,2020-21,10200,10200,15300,
Rakhine,Plantain,2021-22,10100,10100,15150,
Rakhine,Plantain,2022-23,10300,10300,15450,
Rakhine,Plantain,2023-24,10400,10400,15600,
Rakhine,Plantain,2024-25,10500,10500,15750,
Rakhine,Vegetables,2019-20,70000,70000,0,
Rakhine,Vegetables,2020-21,72000,72000,0,
Rakhine,Vegetables,2021-22,71000,71000,0,
Rakhine,Vegetables,2022-23,73000,73000,0,
Rakhine,Vegetables,2023-24,74000,74000,0,
Rakhine,Vegetables,2024-25,75000,75000,0,
Rakhine,Fruits,2019-20,25000,25000,0,
Rakhine,Fruits,2020-21,26000,26000,0,
Rakhine,Fruits,2021-22,25500,25500,0,
Rakhine,Fruits,2022-23,26500,26500,0,
Rakhine,Fruits,2023-24,27000,27000,0,
Rakhine,Fruits,2024-25,27500,27500,0,
Mon,Tea,2019-20,0,0,0,
Mon,Tea,2020-21,0,0,0,
Mon,Tea,2021-22,0,0,0,
Mon,Tea,2022-23,0,0,0,
Mon,Tea,2023-24,0,0,0,
Mon,Tea,2024-25,0,0,0,
Mon,Coffee,2019-20,0,0,0,
Mon,Coffee,2020-21,0,0,0,
Mon,Coffee,2021-22,0,0,0,
Mon,Coffee,2022-23,0,0,0,
Mon,Coffee,2023-24,0,0,0,
Mon,Coffee,2024-25,0,0,0,
Mon,Sugarcane,2019-20,0,0,0,
Mon,Sugarcane,2020-21,0,0,0,
Mon,Sugarcane,2021-22,0,0,0,
Mon,Sugarcane,2022-23,0,0,0,
Mon,Sugarcane,2023-24,0,0,0,
Mon,Sugarcane,2024-25,0,0,0,
Mon,Toddy_Palm,2019-20,0,0,0,
Mon,Toddy_Palm,2020-21,0,0,0,
Mon,Toddy_Palm,2021-22,0,0,0,
Mon,Toddy_Palm,2022-23,0,0,0,
Mon,Toddy_Palm,2023-24,0,0,0,
Mon,Toddy_Palm,2024-25,0,0,0,
Mon,Potato,2019-20,0,0,0,
Mon,Potato,2020-21,0,0,0,
Mon,Potato,2021-22,0,0,0,
Mon,Potato,2022-23,0,0,0,
Mon,Potato,2023-24,0,0,0,
Mon,Potato,2024-25,0,0,0,
Mon,Plantain,2019-20,14000,14000,20000,
Mon,Plantain,2020-21,14200,14200,20300,
Mon,Plantain,2021-22,14100,14100,20150,
Mon,Plantain,2022-23,14300,14300,20450,
Mon,Plantain,2023-24,14400,14400,20600,
Mon,Plantain,2024-25,14500,14500,20750,
Mon,Vegetables,2019-20,90000,90000,0,
Mon,Vegetables,2020-21,92000,92000,0,
Mon,Vegetables,2021-22,91000,91000,0,
Mon,Vegetables,2022-23,93000,93000,0,
Mon,Vegetables,2023-24,94000,94000,0,
Mon,Vegetables,2024-25,95000,95000,0,
Mon,Fruits,2019-20,35000,35000,0,
Mon,Fruits,2020-21,36000,36000,0,
Mon,Fruits,2021-22,35500,35500,0,
Mon,Fruits,2022-23,36500,36500,0,
Mon,Fruits,2023-24,37000,37000,0,
Mon,Fruits,2024-25,37500,37500,0,
Kayin,Tea,2019-20,0,0,0,
Kayin,Tea,2020-21,0,0,0,
Kayin,Tea,2021-22,0,0,0,
Kayin,Tea,2022-23,0,0,0,
Kayin,Tea,2023-24,0,0,0,
Kayin,Tea,2024-25,0,0,0,
Kayin,Coffee,2019-20,0,0,0,
Kayin,Coffee,2020-21,0,0,0,
Kayin,Coffee,2021-22,0,0,0,
Kayin,Coffee,2022-23,0,0,0,
Kayin,Coffee,2023-24,0,0,0,
Kayin,Coffee,2024-25,0,0,0,
Kayin,Sugarcane,2019-20,0,0,0,
Kayin,Sugarcane,2020-21,0,0,0,
Kayin,Sugarcane,2021-22,0,0,0,
Kayin,Sugarcane,2022-23,0,0,0,
Kayin,Sugarcane,2023-24,0,0,0,
Kayin,Sugarcane,2024-25,0,0,0,
Kayin,Toddy_Palm,2019-20,0,0,0,
Kayin,Toddy_Palm,2020-21,0,0,0,
Kayin,Toddy_Palm,2021-22,0,0,0,
Kayin,Toddy_Palm,2022-23,0,0,0,
Kayin,Toddy_Palm,2023-24,0,0,0,
Kayin,Toddy_Palm,2024-25,0,0,0,
Kayin,Potato,2019-20,0,0,0,
Kayin,Potato,2020-21,0,0,0,
Kayin,Potato,2021-22,0,0,0,
Kayin,Potato,2022-23,0,0,0,
Kayin,Potato,2023-24,0,0,0,
Kayin,Potato,2024-25,0,0,0,
Kayin,Plantain,2019-20,8000,8000,12000,
Kayin,Plantain,2020-21,8200,8200,12300,
Kayin,Plantain,2021-22,8100,8100,12150,
Kayin,Plantain,2022-23,8300,8300,12450,
Kayin,Plantain,2023-24,8400,8400,12600,
Kayin,Plantain,2024-25,8500,8500,12750,
Kayin,Vegetables,2019-20,60000,60000,0,
Kayin,Vegetables,2020-21,62000,62000,0,
Kayin,Vegetables,2021-22,61000,61000,0,
Kayin,Vegetables,2022-23,63000,63000,0,
Kayin,Vegetables,2023-24,64000,64000,0,
Kayin,Vegetables,2024-25,65000,65000,0,
Kayin,Fruits,2019-20,20000,20000,0,
Kayin,Fruits,2020-21,21000,21000,0,
Kayin,Fruits,2021-22,20500,20500,0,
Kayin,Fruits,2022-23,21500,21500,0,
Kayin,Fruits,2023-24,22000,22000,0,
Kayin,Fruits,2024-25,22500,22500,0,
Kayah,Tea,2019-20,0,0,0,
Kayah,Tea,2020-21,0,0,0,
Kayah,Tea,2021-22,0,0,0,
Kayah,Tea,2022-23,0,0,0,
Kayah,Tea,2023-24,0,0,0,
Kayah,Tea,2024-25,0,0,0,
Kayah,Coffee,2019-20,0,0,0,
Kayah,Coffee,2020-21,0,0,0,
Kayah,Coffee,2021-22,0,0,0,
Kayah,Coffee,2022-23,0,0,0,
Kayah,Coffee,2023-24,0,0,0,
Kayah,Coffee,2024-25,0,0,0,
Kayah,Sugarcane,2019-20,0,0,0,
Kayah,Sugarcane,2020-21,0,0,0,
Kayah,Sugarcane,2021-22,0,0,0,
Kayah,Sugarcane,2022-23,0,0,0,
Kayah,Sugarcane,2023-24,0,0,0,
Kayah,Sugarcane,2024-25,0,0,0,
Kayah,Toddy_Palm,2019-20,0,0,0,
Kayah,Toddy_Palm,2020-21,0,0,0,
Kayah,Toddy_Palm,2021-22,0,0,0,
Kayah,Toddy_Palm,2022-23,0,0,0,
Kayah,Toddy_Palm,2023-24,0,0,0,
Kayah,Toddy_Palm,2024-25,0,0,0,
Kayah,Potato,2019-20,0,0,0,
Kayah,Potato,2020-21,0,0,0,
Kayah,Potato,2021-22,0,0,0,
Kayah,Potato,2022-23,0,0,0,
Kayah,Potato,2023-24,0,0,0,
Kayah,Potato,2024-25,0,0,0,
Kayah,Plantain,2019-20,3000,3000,5000,
Kayah,Plantain,2020-21,3200,3200,5300,
Kayah,Plantain,2021-22,3100,3100,5150,
Kayah,Plantain,2022-23,3300,3300,5450,
Kayah,Plantain,2023-24,3400,3400,5600,
Kayah,Plantain,2024-25,3500,3500,5750,
Kayah,Vegetables,2019-20,30000,30000,0,
Kayah,Vegetables,2020-21,32000,32000,0,
Kayah,Vegetables,2021-22,31000,31000,0,
Kayah,Vegetables,2022-23,33000,33000,0,
Kayah,Vegetables,2023-24,34000,34000,0,
Kayah,Vegetables,2024-25,35000,35000,0,
Kayah,Fruits,2019-20,10000,10000,0,
Kayah,Fruits,2020-21,11000,11000,0,
Kayah,Fruits,2021-22,10500,10500,0,
Kayah,Fruits,2022-23,11500,11500,0,
Kayah,Fruits,2023-24,12000,12000,0,
Kayah,Fruits,2024-25,12500,12500,0,
Chin,Tea,2019-20,0,0,0,
Chin,Tea,2020-21,0,0,0,
Chin,Tea,2021-22,0,0,0,
Chin,Tea,2022-23,0,0,0,
Chin,Tea,2023-24,0,0,0,
Chin,Tea,2024-25,0,0,0,
Chin,Coffee,2019-20,0,0,0,
Chin,Coffee,2020-21,0,0,0,
Chin,Coffee,2021-22,0,0,0,
Chin,Coffee,2022-23,0,0,0,
Chin,Coffee,2023-24,0,0,0,
Chin,Coffee,2024-25,0,0,0,
Chin,Sugarcane,2019-20,0,0,0,
Chin,Sugarcane,2020-21,0,0,0,
Chin,Sugarcane,2021-22,0,0,0,
Chin,Sugarcane,2022-23,0,0,0,
Chin,Sugarcane,2023-24,0,0,0,
Chin,Sugarcane,2024-25,0,0,0,
Chin,Toddy_Palm,2019-20,0,0,0,
Chin,Toddy_Palm,2020-21,0,0,0,
Chin,Toddy_Palm,2021-22,0,0,0,
Chin,Toddy_Palm,2022-23,0,0,0,
Chin,Toddy_Palm,2023-24,0,0,0,
Chin,Toddy_Palm,2024-25,0,0,0,
Chin,Potato,2019-20,0,0,0,
Chin,Potato,2020-21,0,0,0,
Chin,Potato,2021-22,0,0,0,
Chin,Potato,2022-23,0,0,0,
Chin,Potato,2023-24,0,0,0,
Chin,Potato,2024-25,0,0,0,
Chin,Plantain,2019-20,2000,2000,3000,
Chin,Plantain,2020-21,2200,2200,3300,
Chin,Plantain,2021-22,2100,2100,3150,
Chin,Plantain,2022-23,2300,2300,3450,
Chin,Plantain,2023-24,2400,2400,3600,
Chin,Plantain,2024-25,2500,2500,3750,
Chin,Vegetables,2019-20,20000,20000,0,
Chin,Vegetables,2020-21,22000,22000,0,
Chin,Vegetables,2021-22,21000,21000,0,
Chin,Vegetables,2022-23,23000,23000,0,
Chin,Vegetables,2023-24,24000,24000,0,
Chin,Vegetables,2024-25,25000,25000,0,
Chin,Fruits,2019-20,5000,5000,0,
Chin,Fruits,2020-21,6000,6000,0,
Chin,Fruits,2021-22,5500,5500,0,
Chin,Fruits,2022-23,6500,6500,0,
Chin,Fruits,2023-24,7000,7000,0,
Chin,Fruits,2024-25,7500,7500,0,
